distance,vegan,raupcrick
39.271616,0.5656,-0.12
59.762014,0.8698,0.55
494.628627,0.9999,1
20.973943,0.6045,-0.05
439.93617,0.0001,-1
352.323334,0.0001,-1
7.42099,0.0001,-1
126.948805,0.0011,-1
41.533846,0.0565,-0.95
416.252447,0.3576,-1
911.293993,0.1725,-0.81
12.253549,0.0001,-1
156.962443,0.0002,-1
7.396686,0.0001,-1
76.40465,0.0001,-1
391.318505,0.0004,-1
699.346866,0.0053,-1
385.060884,0.0001,-1
476.739387,0.0001,-1
93.079464,0.0091,-1
390.828338,0.0001,-1
97.175847,0.0001,-1
442.092372,0.0001,-1
290.053194,0.0777,-0.97
485.787834,0.0056,-1
5.25493,0.5178,-1
514.40624,0.0097,-0.99
451.813775,0.0001,-1
420.443759,0.0001,-1
431.428749,0.0001,-1
355.094056,0.0001,-1
50.34418,0.0001,-1
309.013987,0.0001,-1
75.404917,0.0001,-1
53.788172,0.0001,-1
521.885617,0.0134,-1
55.420093,0.0001,-1
356.761046,0.0001,-1
212.13611,0.3012,-0.71
396.323764,0.0569,-0.95
72.316611,0.7606,-0.28
550.397616,0.0127,-0.99
365.875616,0.0001,-1
305.667901,0.0001,-1
345.287471,0.0001,-1
267.454642,0.0001,-1
44.106824,0.0001,-1
336.90301,0.0001,-1
16.041612,0.0001,-1
110.806585,0.0001,-1
424.004604,0.1387,-0.9
37.121092,0.0001,-1
128.86991,0.0008,-1
43.044359,0.1096,-0.9
418.48655,0.7135,-0.36
917.289377,0.3781,-0.48
5.992483,0.0001,-1
168.286524,0.0002,-1
8.873327,0.0001,-1
78.844663,0.0001,-1
394.143819,0.0005,-1
704.815284,0.0159,-0.99
388.907182,0.0001,-1
479.94071,0.0035,-1
98.915455,0.0036,-1
393.948543,0.0001,-1
173.137291,0.9166,0.58
266.89241,0.3034,-0.81
776.88153,0.9947,0.97
138.595734,0.0102,-1
186.281849,0.3916,-0.62
118.25742,0.0025,-1
44.005254,0.0159,-1
244.810171,0.3455,-0.63
563.110847,0.9801,0.89
241.72061,0.0962,-0.97
331.019133,0.0574,-0.98
215.371615,0.0415,-0.97
245.012592,0.0799,-0.97
462.060519,0.9944,0.88
952.297809,0.2206,-0.77
35.718048,0.0015,-1
168.731232,0.0001,-1
53.241332,0.0185,-0.99
122.492656,0.0035,-1
436.812341,0.2671,-0.68
741.48844,0.0013,-1
429.70123,0.004,-1
521.921792,0.1194,-0.87
59.720083,0.9781,0.86
436.113524,0.0065,-1
429.254768,0.9999,1
428.191491,0.5045,-1
396.305251,0.8581,-0.02
407.780689,0.4138,-1
331.334039,0.5418,-1
25.697437,0.2973,-1
223.946531,0.9794,0.74
50.453032,0.5388,-1
0.08606612,0.368,-1
498.012923,0.3056,-0.81
30.593757,0.5202,-1
925.731783,0.0197,-0.99
810.200692,0.0368,-0.97
905.514116,0.0802,-0.93
829.057759,0.0038,-1
535.965426,0.1725,-0.81
53.809256,0.0001,-1
535.342576,0.0038,-1
459.955104,0.0056,-1
967.580175,0.7884,0.27
537.710878,0.0096,-0.99
170.23111,0.0001,-1
17.935021,0.0001,-1
88.426004,0.0001,-1
403.737561,0.0001,-1
713.517593,0.0001,-1
398.225529,0.0001,-1
489.448607,0.0001,-1
92.877618,0.0719,-0.98
403.4718,0.0001,-1
161.809371,0.0001,-1
153.706192,0.0001,-1
365.950262,0.0002,-1
612.089098,0.0001,-1
344.086774,0.0001,-1
437.588084,0.0001,-1
146.842492,0.187,-0.88
360.943203,0.0001,-1
67.913692,0.0001,-1
383.188022,0.0001,-1
693.123041,0.0006,-1
377.602568,0.0001,-1
468.854756,0.0001,-1
105.724224,0.0241,-0.99
382.884747,0.0001,-1
306.009078,0.0001,-1
615.984244,0.0001,-1
299.747809,0.0001,-1
391.315675,0.0001,-1
166.077308,0.0169,-1
305.421189,0.0001,-1
324.740098,0.0208,-0.98
24.206319,0.0001,-1
77.77761,0.0001,-1
470.75509,0.0218,-0.99
1.894221,0.0001,-1
322.435215,0.0001,-1
252.483726,0.0032,-1
760.897756,0.662,-0.1
326.180021,0.0001,-1
89.148222,0.0001,-1
459.517955,0.0151,-1
18.346052,0.0001,-1
553.591481,0.1595,-0.9
80.582043,0.0001,-1
468.884186,0.0099,-1
